C.O.;Factura electronica;Tipo de documento;Consecutivo;Fecha;Estado Facturación electronica;Naturaleza de la venta;Tipo tercero cliente;Tipo documento tercero cliente;documento tercero cliente;Razon social cliente factura;SUCURSAL DE FACTURA;Moneda local;Valor bruto local;Valor descuentos local;Valor subtotal local;Valor impuestos local;Valor neto local;Valor impuestos;Valor neto;Valor subtotal;documento vendedor;Notas del documento
C01;Confirmados;FE;17215;24/01/2025;Confirmada;credito;natural;cc;1005094005;JUAN RAMOS;1;COP;$7,412,000.00;$0.00;$7,412,000.00;$0.00;$7,412,000.00;$0.00;$7,412,000.00;$7,412,000.00;41895602;OBSERVACIONES
C01;Confirmados;FE;17216;24/01/2025;Confirmada;contado;Persona juridica;nit;801002644;EMO;1;COP;$7,530,000.00;$0.00;$7,530,000.00;$0.00;$7,530,000.00;$0.00;$7,530,000.00;$7,530,000.00;41895602;OBSERVACIONES
C01;Confirmados;FE;17217;24/01/2025;Confirmada;contado;natural;cc;41945296;YECENIA;1;COP;$8,068,368.00;$0.00;$8,068,368.00;$0.00;$8,068,368.00;$0.00;$8,068,368.00;$8,068,368.00;41895602;OBSERVACIONES
C01;Confirmados;FE;17218;24/01/2025;Confirmada;contado;Persona juridica;nit;801000091;DOFI;1;COP;$8,314,000.00;$0.00;$8,314,000.00;$0.00;$8,314,000.00;$0.00;$8,314,000.00;$8,314,000.00;41895602;OBSERVACIONES
C02;Confirmados;FE;17219;25/01/2025;Confirmada;contado;Persona juridica;nit;801000092;DOFI;2;COP;$8,314,000.01;$0.01;$8,314,000.01;$0.01;$8,314,000.01;$0.01;$8,314,000.00;$8,314,000.00;41895603;OBSERVACIONES
C03;Confirmados;FE;17220;26/01/2025;Confirmada;contado;Persona juridica;nit;801000093;DOFI;3;COP;$8,314,000.02;$0.02;$8,314,000.02;$0.02;$8,314,000.02;$0.02;$8,314,000.00;$8,314,000.00;41895604;OBSERVACIONES
C04;Confirmados;FE;17221;27/01/2025;Confirmada;contado;Persona juridica;nit;801000094;DOFI;4;COP;$8,314,000.03;$0.03;$8,314,000.03;$0.03;$8,314,000.03;$0.03;$8,314,000.00;$8,314,000.00;41895605;OBSERVACIONES
C05;Confirmados;FE;17222;28/01/2025;Confirmada;contado;Persona juridica;nit;801000095;DOFI;5;COP;$8,314,000.04;$0.04;$8,314,000.04;$0.04;$8,314,000.04;$0.04;$8,314,000.00;$8,314,000.00;41895606;OBSERVACIONES
C06;Confirmados;FE;17223;29/01/2025;Confirmada;contado;Persona juridica;nit;801000096;DOFI;6;COP;$8,314,000.05;$0.05;$8,314,000.05;$0.05;$8,314,000.05;$0.05;$8,314,000.00;$8,314,000.00;41895607;OBSERVACIONES
C07;Confirmados;FE;17224;30/01/2025;Confirmada;contado;Persona juridica;nit;801000097;DOFI;7;COP;$8,314,000.06;$0.06;$8,314,000.06;$0.06;$8,314,000.06;$0.06;$8,314,000.00;$8,314,000.00;41895608;OBSERVACIONES
